"Month","DayOfTheMonth","DayOfTheYear","DayOfTheWeek","Hour","Minute","OverallLoad1","OverallLoad2","OverallLoad3","OverallLoad4","OverallLoad5","OverallLoad6","OverallLoad7","OverallLoad8","OverallLoad9","OverallLoad10","OverallLoad11","OverallLoad12","AirLoad1","AirLoad2","AirLoad3","AirLoad4","AirLoad5","AirLoad6","AirLoad7","AirLoad8","AirLoad9","AirLoad10","AirLoad11","AirLoad12","isHollidays","Forecast"
3,28,88,4,0,30,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.11,0.1,0.09,0.11,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
2,13,44,2,14,0,0.45,0.43,0.44,0.29,0.54,0.42,0.41,0.41,0.42,0.45,0.46,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.53
4,18,109,4,19,0,0.74,0.67,0.62,0.54,0.47,0.47,0.25,0.1,0.06,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
11,20,325,3,13,45,0.54,0.54,0.37,0.38,0.39,0.53,0.38,0.2,0.3,0.38,0.54,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.55
8,8,221,4,16,0,0.34,0.28,0.24,0.51,0.23,0.35,0.37,0.36,0.34,0.35,0.34,0.36,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.21
12,28,363,6,10,30,0.1,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.11,0.08,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
11,28,333,4,0,30,0.12,0.12,0.14,0.13,0.13,0.08,0.13,0.12,0.13,0.14,0.13,0.12,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.12
2,15,46,4,16,0,0.43,0.5,0.6,0.58,0.57,0.56,0.56,0.55,0.57,0.54,0.51,0.61,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.74
7,14,196,7,4,45,0.07,0.15,0.06,0.13,0.06,0.15,0.07,0.12,0.07,0.12,0.09,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0,0.13
5,5,126,7,14,45,0.11,0.09,0.11,0.09,0.11,0.09,0.1,0.06,0.11,0.1,0.1,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
5,19,140,7,23,45,0.12,0.11,0.1,0.07,0.12,0.1,0.11,0.1,0.12,0.09,0.11,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
8,1,214,4,19,0,1.1,1.3,0.94,0.92,0.9,0.83,0.15,0.11,0.09,0.11,0.12,0.06,0.86,1.11,0.75,0.74,0.73,0.63,0.01,0.01,0,0.01,0.01,0,1,0.11
4,4,95,4,22,30,0.09,0.11,0.07,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
11,1,306,5,14,45,0.1,0.11,0.11,0.1,0.13,0.09,0.1,0.11,0.06,0.11,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.1
4,12,103,5,5,30,0.12,0.1,0.12,0.11,0.1,0.17,0.6,0.7,0.78,0.94,0.93,0.82,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.69
5,3,124,5,5,15,0.11,0.11,0.1,0.11,0.1,0.11,0.26,0.64,0.88,0.91,0.99,1.03,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.97
1,25,25,6,3,30,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.15,0.08,0.13,0.12,0.13,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
11,18,323,1,19,15,0.11,0.1,0.11,0.1,0.11,0.12,0.11,0.07,0.11,0.11,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
8,18,231,7,8,30,0.1,0.12,0.1,0.11,0.06,0.11,0.11,0.11,0.1,0.11,0.09,0.13,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.1
9,21,265,6,3,45,0.13,0.1,0.1,0.11,0.11,0.08,0.11,0.1,0.1,0.13,0.1,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
5,22,143,3,10,30,0.29,0.29,0.33,0.3,0.29,0.31,0.35,0.55,0.55,0.52,0.44,0.42,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.44
9,12,256,4,3,30,0.11,0.1,0.11,0.12,0.11,0.09,0.11,0.11,0.12,0.07,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
5,28,149,2,21,30,0.1,0.12,0.09,0.1,0.09,0.12,0.1,0.1,0.09,0.12,0.1,0.11,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
7,30,212,2,12,0,1.27,1.23,1.47,0.99,1.41,0.96,1.43,1.11,1.4,0.77,0.99,1.4,1.07,1.03,1.26,0.8,1.22,0.77,1.24,0.83,1.22,0.66,0.83,1.19,0,1.15
10,2,276,3,3,30,0.12,0.11,0.13,0.11,0.11,0.12,0.12,0.09,0.11,0.11,0.11,0.12,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.13
7,24,206,3,7,15,0.53,0.55,0.64,0.64,0.54,0.65,2.06,1.43,0.77,1.3,1.41,1.17,0.01,0.01,0.01,0.01,0.01,0.27,1.76,1.14,0.63,1.12,1.19,0.9,0,1.23
4,27,118,6,15,30,0.42,0.44,0.42,0.48,0.54,0.48,0.47,0.48,0.48,0.45,0.47,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.39
11,3,308,7,4,15,0.1,0.1,0.1,0.12,0.11,0.1,0.06,0.1,0.11,0.12,0.1,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
2,25,56,7,18,30,0.1,0.09,0.11,0.1,0.1,0.09,0.11,0.09,0.1,0.09,0.12,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
5,21,142,2,12,0,0.24,0.23,0.23,0.23,0.24,0.22,0.24,0.32,0.17,0.18,0.24,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.25
10,16,290,3,12,30,0.64,0.58,0.48,0.32,0.48,0.54,0.52,0.42,0.43,0.49,0.61,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.61
7,31,213,3,5,30,0.11,0.06,0.12,0.1,0.11,0.13,0.53,0.55,0.53,0.52,0.56,0.58,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.4
3,25,85,1,12,30,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
7,30,212,2,23,15,0.11,0.06,0.12,0.11,0.1,0.11,0.1,0.13,0.11,0.11,0.09,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.12
7,27,209,6,7,45,0.11,0.1,0.1,0.18,0.16,0.18,0.18,1.69,1.2,1.62,1.37,1.21,0.01,0,0.01,0.01,0.01,0.01,0.01,1.59,0.99,1.38,1.13,0.97,0,1.76
10,28,302,1,15,45,0.08,0.09,0.12,0.11,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.07,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
4,2,93,2,9,15,0.14,0.11,0.12,0.18,0.32,0.34,0.32,0.35,0.3,0.3,0.33,0.3,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.28
12,2,337,1,20,45,0.11,0.12,0.07,0.11,0.12,0.13,0.1,0.11,0.11,0.1,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
12,8,343,7,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,45,3,3,45,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.1,0.1,0.09,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
5,24,145,5,1,15,0.09,0.11,0.09,0.11,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.12,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
2,3,34,6,22,45,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.12
4,25,116,4,16,0,0.42,0.55,0.54,0.56,0.59,0.58,0.58,0.56,0.58,0.55,0.56,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.42
10,12,286,6,3,30,0.06,0.11,0.1,0.12,0.11,0.1,0.11,0.09,0.12,0.11,0.11,0.06,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.11
5,20,141,1,16,0,0.12,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.12,0.09,0.11,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
8,1,214,4,7,45,0.1,0.11,0.1,0.12,1.32,1.61,0.99,0.88,1.47,1.09,1.48,1.2,0.01,0.01,0.01,0.01,1.16,1.43,0.81,0.76,1.26,0.87,1.24,0.95,1,1.64
2,17,48,6,16,45,0.53,0.54,0.55,0.52,0.53,0.51,0.53,0.52,0.53,0.51,0.51,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.56
8,21,234,3,14,0,2.11,1.49,1.51,1.91,1.05,1.66,1.39,1.6,1.71,1.38,1.52,1.79,1.84,1.33,1.37,1.65,0.89,1.35,1.15,1.34,1.48,1.15,1.29,1.54,1,1.47
3,14,74,4,0,15,0.12,0.1,0.11,0.1,0.13,0.1,0.12,0.1,0.13,0.1,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
12,18,353,3,10,30,0.22,0.29,0.29,0.19,0.27,0.28,0.25,0.3,0.27,0.29,0.29,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.55
2,4,35,7,6,15,0.12,0.1,0.13,0.11,0.11,0.12,0.1,0.13,0.11,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.12
11,8,313,5,14,15,0.57,0.57,0.55,0.67,0.48,0.39,0.37,0.26,0.44,0.51,0.44,0.42,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.39
3,2,62,6,13,15,0.3,0.32,0.32,0.3,0.32,0.35,0.33,0.31,0.15,0.18,0.15,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.19
1,29,29,3,11,15,0.28,0.27,0.28,0.24,0.46,0.44,0.4,0.43,0.37,0.37,0.4,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.38
6,17,169,1,2,45,0.1,0.09,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
2,24,55,6,7,30,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.1,0.1,0.11,0.09,0.11,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.14
5,25,146,6,1,0,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.07,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
9,27,271,5,21,0,0.21,0.2,0.22,0.15,0.08,0.11,0.1,0.11,0.13,0.1,0.11,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.12
12,30,365,1,3,45,0.1,0.1,0.11,0.1,0.07,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
7,18,200,4,16,15,0,0,0,0,0,0.61,0.36,0.87,0.36,0.47,0.43,0.42,0,0,0,0,0,0.28,0.18,1.59,0.19,0.28,0.29,0.28,0,0.28
3,21,81,4,13,30,0.78,0.76,0.8,0.77,0.78,0.75,0.72,0.74,0.69,0.7,0.78,0.77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.72
8,13,226,2,19,45,0.09,0.13,0.1,0.06,0.11,0.09,0.13,0.09,0.1,0.1,0.11,0.12,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,1,0.06
4,9,100,2,22,30,0.11,0.11,0.11,0.1,0.1,0.12,0.11,0.11,0.1,0.12,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,1,0.1
12,19,354,4,20,15,0.29,0.12,0.12,0.11,0.12,0.13,0.13,0.08,0.11,0.12,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
6,18,170,2,18,45,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.06,0.1,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
5,21,142,2,8,15,0.12,0.1,0.11,0.11,0.15,0.13,0.14,0.18,0.27,0.26,0.26,0.23,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.23
3,27,87,3,19,30,0.38,0.39,0.4,0.35,0.24,0.29,0.46,0.46,0.45,0.32,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
12,18,353,3,19,15,0.67,0.64,0.57,0.25,0.17,0.13,0.13,0.12,0.07,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.13
3,30,90,6,2,30,0.11,0.09,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
12,20,355,5,6,15,0.12,0.11,0.13,0.11,0.11,0.12,0.1,0.08,0.13,0.11,0.66,0.74,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.73
3,18,78,1,9,15,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.14,0.1,0.12,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.12
3,17,77,7,12,0,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.11
3,7,67,4,23,15,0.11,0.1,0.12,0.1,0.11,0.1,0.12,0.11,0.1,0.12,0.11,0.12,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
8,1,214,4,16,30,1.4,1.05,1.18,1.35,1.01,1.31,1.13,0.95,0.95,0.78,1.1,1.3,1.12,0.78,0.9,1.07,0.73,1.07,0.91,0.74,0.75,0.65,0.86,1.11,1,0.94
5,17,138,5,8,0,0.53,0.5,0.41,0.2,0.12,0.13,0.13,0.12,0.19,0.22,0.25,0.26,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.26
2,8,39,4,15,15,0.5,0.52,0.52,0.56,0.45,0.43,0.42,0.43,0.44,0.44,0.43,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.45
5,20,141,1,17,15,0.1,0.1,0.1,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
10,23,297,3,18,15,0.26,0.23,0.2,0.14,0.1,0.13,0.18,0.17,0.12,0.11,0.12,0.13,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
2,11,42,7,18,15,0.12,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.07,0.11,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.11
8,20,233,2,19,15,0.12,0.1,0.12,0.09,0.08,0.09,0.11,0.11,0.11,0.1,0.1,0.1,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.07
5,10,131,5,1,0,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.09,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
4,12,103,5,14,15,0.51,0.52,0.64,0.6,0.6,0.61,0.58,0.59,0.55,0.61,0.5,0.5,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.58
3,18,78,1,4,15,0.1,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.12
5,26,147,7,9,30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
3,25,85,1,21,15,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.09,0.12,0.09,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.07
3,16,76,6,19,45,0.45,0.29,0.25,0.24,0.25,0.27,0.24,0.21,0.11,0.14,0.11,0.12,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
7,4,186,4,22,15,0.22,0.42,0.21,0.43,0.21,0.45,0.09,0.15,0.07,0.16,0.08,0.15,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.07
2,12,43,1,21,45,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.08
10,12,286,6,22,15,0.11,0.09,0.11,0.12,0.11,0.06,0.11,0.1,0.13,0.11,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,1,0.11
3,6,66,3,6,0,0.12,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.12
1,6,6,1,5,45,0.1,0.07,0.11,0.12,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.07,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
3,13,73,3,20,30,0.63,0.66,0.64,0.39,0.34,0.33,0.1,0.11,0.11,0.11,0.06,0.11,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
4,18,109,4,1,30,0.1,0.11,0.1,0.09,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
12,23,358,1,16,45,0.11,0.09,0.11,0.12,0.11,0.1,0.07,0.11,0.1,0.11,0.12,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
1,4,4,6,10,0,0.18,0.18,0.19,0.21,0.26,0.26,0.24,0.16,0.26,0.26,0.25,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.26
5,9,130,4,10,0,0.11,0.12,0.18,0.17,0.16,0.21,0.15,0.18,0.15,0.16,0.15,0.16,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.18
3,14,74,4,10,15,0.11,0.11,0.14,0.32,0.43,0.53,0.6,0.57,0.6,0.57,0.45,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.52
11,11,316,1,18,30,0.07,0.1,0.1,0.12,0.11,0.1,0.11,0.17,0.26,0.26,0.26,0.17,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.25
10,23,297,3,17,0,0.28,0.25,0.26,0.24,0.27,0.26,0.23,0.2,0.14,0.1,0.13,0.18,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.17
12,24,359,2,10,15,0.1,0.13,0.09,0.11,0.1,0.1,0.07,0.12,0.11,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.09
